scalar	group	group2
DKI Micro AD	dMRI	QIV
DKI Micro ADE	dMRI	dMRI
DKI Micro AWF	dMRI	dMRI
DKI Micro AxonalD	dMRI	dMRI
DKI Micro KFA	dMRI	Kurtosis
DKI Micro MD	dMRI	QIV
DKI Micro RD	dMRI	QIV
DKI Micro RDE	dMRI	dMRI
DKI Micro Tortuosity	dMRI	dMRI
DKI Micro Trace	dMRI	dMRI
DKI AD	dMRI	QIV
DKI AK	dMRI	Kurtosis
DKI KFA	dMRI	Kurtosis
DKI Linearity	dMRI	dMRI
DKI MD	dMRI	QIV
DKI MK	dMRI	Kurtosis
DKI MKT	dMRI	Kurtosis
DKI Planarity	dMRI	dMRI
DKI RD	dMRI	QIV
DKI RK	dMRI	Kurtosis
DKI Sphericity	dMRI	dMRI
DKI Tensor FA	dMRI	Anisotropy
DSIStudio GQI GFA	dMRI	dMRI
DSIStudio GQI ISO	dMRI	dMRI
DSIStudio GQI QA	dMRI	dMRI
DSIStudio Tensor AD	dMRI	Diffusivity
DSIStudio Tensor FA	dMRI	Anisotropy
DSIStudio Tensor HA	dMRI	dMRI
DSIStudio Tensor MD	dMRI	Diffusivity
DSIStudio Tensor RD1	dMRI	dMRI
DSIStudio Tensor RD2	dMRI	dMRI
DSIStudio Tensor RD	dMRI	Diffusivity
DSIStudio Tensor TXX	dMRI	dMRI
DSIStudio Tensor TXY	dMRI	dMRI
DSIStudio Tensor TXZ	dMRI	dMRI
DSIStudio Tensor TYY	dMRI	dMRI
DSIStudio Tensor TYZ	dMRI	dMRI
DSIStudio Tensor TZZ	dMRI	dMRI
NODDI ICVF Modulated	dMRI	Kurtosis
NODDI ICVF	dMRI	Kurtosis
NODDI ISOVF	dMRI	Diffusivity
NODDI NRMSE	dMRI	dMRI
NODDI OD Modulated	dMRI	Anisotropy
NODDI OD	dMRI	Anisotropy
NODDI RMSE	dMRI	dMRI
NODDI TF	dMRI	dMRI
TORTOISE MAPMRI NG	dMRI	dMRI
TORTOISE MAPMRI NG Par	dMRI	dMRI
TORTOISE MAPMRI NG Perp	dMRI	dMRI
TORTOISE MAPMRI PA	dMRI	dMRI
TORTOISE MAPMRI PATH	dMRI	dMRI
TORTOISE MAPMRI RTAP	dMRI	Diffusivity
TORTOISE MAPMRI RTOP	dMRI	Diffusivity
TORTOISE MAPMRI RTPP	dMRI	Diffusivity
TORTOISE MAPMRI AD	dMRI	Diffusivity
TORTOISE MAPMRI AM	dMRI	dMRI
TORTOISE MAPMRI FA	dMRI	Anisotropy
TORTOISE MAPMRI LI	dMRI	dMRI
TORTOISE MAPMRI RD	dMRI	Diffusivity
TORTOISE Tensor AD	dMRI	dMRI
TORTOISE Tensor AM	dMRI	dMRI
TORTOISE Tensor FA	dMRI	Anisotropy
TORTOISE Tensor LI	dMRI	dMRI
TORTOISE Tensor RD	dMRI	Diffusivity
ihMTw	ihMT	ihMT
ihMTR	ihMT	ihMT
MTR	ihMT	ihMT
ihMTsat	ihMT	ihMT
ihMTsat-B1c	ihMT	ihMT
R1	MP2RAGE	MP2RAGE
R1-B1c	MP2RAGE	MP2RAGE
MPRAGE-MyelinW	T1w/T2w Ratio	T1w/T2w Ratio
SPACE-MyelinW	T1w/T2w Ratio	T1w/T2w Ratio
Scaled MPRAGE-MyelinW	T1w/T2w Ratio	T1w/T2w Ratio
Scaled SPACE-MyelinW	T1w/T2w Ratio	T1w/T2w Ratio
G-ihMTsat	G-Ratio	G-Ratio
G-ihMTR	G-Ratio	G-Ratio
QSM-SEPIA-E5	QSM	QSM
QSM-SEPIA-E4	QSM	QSM
QSM-X-R2'-E5-X	QSM	QSM
QSM-X-R2'-E4-X	QSM	QSM
QSM-X-R2'-E5-Para	QSM	QSM
QSM-X-R2'-E4-Para	QSM	QSM
QSM-X-R2'-E5-Dia	QSM	QSM
QSM-X-R2'-E4-Dia	QSM	QSM
QSM-X-R2pnet-E5-X	QSM	QSM
QSM-X-R2pnet-E4-X	QSM	QSM
QSM-X-R2pnet-E5-Para	QSM	QSM
QSM-X-R2pnet-E4-Para	QSM	QSM
QSM-X-R2pnet-E5-Dia	QSM	QSM
QSM-X-R2pnet-E4-Dia	QSM	QSM
QSM-X-R2*-E5-X	QSM	QSM
QSM-X-R2*-E4-X	QSM	QSM
QSM-X-R2*-E5-Para	QSM	QSM
QSM-X-R2*-E4-Para	QSM	QSM
QSM-X-R2*-E5-Dia	QSM	QSM
QSM-X-R2*-E4-Dia	QSM	QSM
